-GROUP-,Before Start
FLCS BIT,Guarded STOP
ALT FLAPS,NORM
APR SWITCH,AUTO
YAW TRIM,CENTERED
FADEC,CENTERED
THROTTLE,CUTOFF
CANOPY JTSN,SAFE
INTERIOR LT,As Req.
EXTERIOR LT,OFF
FUEL TANKS,INTERNAL
AAR SWITCH,CLOSE
AAR LIGHT,OFF
L/R GEN,OFF/RESET
AUX GEN,Guarded ON
APU,OFF
HOOK,UP
PARK BRAKE,PARK
MASTER ARM,SAFE
LAND/TAXI LT,OFF
LDG GEAR,DOWN
BATTERY,OFF
ECS TEMP,As Req.
ECS ANTI-FOG,As Req.
RADIO VOL,As Req.
OXYGEN MIXTURE,AUTO
OXYGEN MODE,NORM
OXYGEN PWR,ON
-GROUP-,Engine Start
BATTERY,ON
-INFO-,Confirm UFD powerup
APU,START
-INFO-,Monitor APU Status. Check for OK.
L/R GEN,ON
POSITION LT,ANTICOL
L THROTTLE,IDLE
-INFO-,Monitor Engine Status - Check for OK
R THROTTLE,IDLE
-INFO-,Monitor Engine Status - Check for OK
APU,OFF
-GROUP-,After Start
PMFD,As Req.
SMFD,As Req.
-GROUP-,Taxi
LAND/TAXI LT,TAXI
PARK BRAKE,RELEASE
-GROUP-,Before Takeoff
-INFO-,Check instruments for normal operation
LAND/TAXI LT,LAND
PARK BRAKE,ANTI-SKID
POSITION LT,POSN/ ANTICOL
-GROUP-,Takeoff
THROTTLE,TAKEOFF
-INFO-,Wait 100 KIAS
-INFO-,ROTATE 10 degrees
LDG GEAR,UP
-INFO-,Check instruments for normal operation
-GROUP-,Before Landing
FLAPS,AUTO
-INFO-,Wait 150 KIAS
LDG GEAR,DOWN
LAND/TAXI LT,LAND
PARK BRAKE,RELEASE
-GROUP-,Landing
-INFO-,Check park brake released
-INFO-,Approach speed 140 KIAS
-INFO-,Threshold speed 130 KIAS 
-INFO-,Landing Speed 120 KIAS
-GROUP-,After Landing
PARK BRAKE,As Req.
-INFO-,Wait until clear of active runway
POSITION LT,ANTICOL
APU,START
-INFO-,Monitor APU Status. Check for OK.
LAND/TAXI LT,TAXI
-INFO-,Check instruments for normal operation
-GROUP-,Engine Shutdown
PARK BRAKE,PARK
POSITION LT,OFF
THROTTLE,CUTOFF
LAND/TAXI LT,OFF
CANOPY JETTISON,SAFE
INTERIOR LT,As Req.
EXTERIOR LT,OFF
L/R GEN,OFF/RESET
AUX GEN,Guarded ON
APU,OFF
BATTERY,OFF
OXYGEN MIXTURE,AUTO
OXYGEN MODE,NORM
OXYGEN PWR,OFF